Month,Year,Date,Service Provider,Initial Complaints,Escalated Complaints,CSM Index,Complaint Response Time,CRM Index,Escalated Complaint Response Time,ERM Index,Avg Age of Cases Pending,PCM Index,CSRI
9,2019,9/1/2019,Cablevision of Long Island,25,5,3,14.6,1.9,3.4,2,9.7,1,7.9
9,2019,9/1/2019,Cablevision of New York City,36,2,4.4,11.4,2,5.3,2,8.1,1,9.4
9,2019,9/1/2019,Central Hudson Gas & Electric Corp.,18,1,4.4,1.7,2,4.4,2,6.5,1,9.4
9,2019,9/1/2019,Citizens Communications,24,6,2.5,8.3,2,9.2,2,6,1,7.5
9,2019,9/1/2019,Con Edison Of New York,360,51,3.6,8,2,11.9,1.9,15.3,0.9,8.4
9,2019,9/1/2019,Direct Energy Services LLC,18,2,3.9,7,2,2.1,2,11.2,1,8.9
9,2019,9/1/2019,"Family Energy, Inc.",13,1,4.2,14.5,1.9,8.8,2,11,1,9.1
9,2019,9/1/2019,"Frontier Communications of Rochester, Inc.",10,0,5,9.7,2,13.8,1.7,1,1,9.7
9,2019,9/1/2019,"Frontier Telephone Of Rochester, Inc.",18,4,2.8,8.2,2,1.5,2,9.2,1,7.8
9,2019,9/1/2019,Josco Energy Corp,24,4,3.3,10.6,2,6.8,2,6.1,1,8.3
9,2019,9/1/2019,National Fuel Gas Distribution,53,1,4.8,11.5,2,5,2,6.3,1,9.8
9,2019,9/1/2019,National Grid - L I,70,16,2.7,13.4,2,8.8,2,23.8,0.8,7.5
9,2019,9/1/2019,National Grid - Metro Ny,210,22,4,6.9,2,16.8,1.4,20.1,0.8,8.2
9,2019,9/1/2019,National Grid - Upstate,211,11,4.5,2.8,2,2.8,2,4.5,1,9.5
9,2019,9/1/2019,New York American Water,23,0,5,7.5,2,0,2,6,1,10
9,2019,9/1/2019,New York State Electric & Gas Corp.,97,3,4.7,3.2,2,2.5,2,5.5,1,9.7
9,2019,9/1/2019,Optimum Voice,36,3,4.2,11.2,2,3.9,2,12.8,1,9.2
9,2019,9/1/2019,Orange & Rockland,44,2,4.5,5,2,10.3,1.9,7.5,1,9.4
9,2019,9/1/2019,Pseg Long Island,47,1,4.8,3.6,2,3.5,2,5.5,1,9.8
9,2019,9/1/2019,Rochester Gas & Electric Corp.,64,0,5,2.6,2,18.3,1.2,30.2,0.6,8.8
9,2019,9/1/2019,Spectrum - Albany,24,1,4.6,8.2,2,220,0,53.1,0.2,6.8
9,2019,9/1/2019,Spectrum - Buffalo,16,1,4.4,10.6,2,29.6,0,11.2,1,7.4
9,2019,9/1/2019,Spectrum - New York City,14,2,3.6,9.4,2,19.6,1.1,209.3,-9,0
9,2019,9/1/2019,Spectrum - Rochester,12,3,2.5,7.1,2,12,1.9,22.1,0.8,7.2
9,2019,9/1/2019,Spectrum - Syracuse,14,1,4.3,5.2,2,16.5,1.4,28.4,0.7,8.4
9,2019,9/1/2019,Spectrum - Telephone,11,2,3.2,8.4,2,40.1,0,63.1,0,5.2
9,2019,9/1/2019,Suez Water New York Inc.,12,4,1.7,1.4,2,7.2,2,35.2,0.5,6.2
9,2019,9/1/2019,Verizon Communications,149,35,2.7,25.9,0.6,65.6,0,60.3,0,3.3
9,2019,9/1/2019,Verizon Digital Voice,16,7,0.6,8.7,2,12.7,1.8,62.8,0,4.4
9,2019,9/1/2019,Verizon New York Inc.,29,5,3.3,25,0.8,6.4,2,15.5,0.9,7
9,2019,9/1/2019,XChange Telecom,11,3,2.3,14.2,1.9,7.9,2,0,1,7.2
8,2019,8/1/2019,Cablevision of Long Island,44,5,3.9,12,2,2.1,2,9.3,1,8.9
8,2019,8/1/2019,Cablevision of New York City,37,6,3.4,9.3,2,7.7,2,9.2,1,8.4
8,2019,8/1/2019,Central Hudson Gas & Electric Corp.,28,1,4.6,2.7,2,2,2,3,1,9.6
8,2019,8/1/2019,Citizens Communications,38,3,4.2,8,2,10.4,1.9,9.1,1,9.1
8,2019,8/1/2019,Con Edison Of New York,384,66,3.3,7.6,2,10.4,1.9,13.6,1,8.2
8,2019,8/1/2019,Direct Energy Services LLC,21,5,2.6,7.6,2,2.3,2,8.1,1,7.6
8,2019,8/1/2019,"Family Energy, Inc.",11,2,3.2,12.5,2,0.1,2,6.5,1,8.2
8,2019,8/1/2019,Frontier Communications of NY/aka Highland Tel,13,1,4.2,8.3,2,10.5,1.9,7.6,1,9.1
8,2019,8/1/2019,"Frontier Communications of Rochester, Inc.",14,1,4.3,10.7,2,10.5,1.9,10,1,9.2
8,2019,8/1/2019,"Frontier Telephone Of Rochester, Inc.",24,0,5,10,2,29.6,0,9.5,1,8
8,2019,8/1/2019,Josco Energy Corp,16,5,1.9,13.7,2,7.3,2,6.7,1,6.9
8,2019,8/1/2019,National Fuel Gas Distribution,66,4,4.4,10,2,10.5,1.9,8.7,1,9.3
8,2019,8/1/2019,National Grid - L I,54,6,3.9,3.2,2,10.7,1.9,31.1,0.6,8.4
8,2019,8/1/2019,National Grid - Metro Ny,155,29,3.1,9.2,2,18.2,1.2,23.1,0.8,7.1
8,2019,8/1/2019,National Grid - Upstate,240,11,4.5,2.1,2,2.4,2,3.6,1,9.5
8,2019,8/1/2019,New York American Water,13,0,5,8.7,2,0.8,2,2,1,10
8,2019,8/1/2019,New York State Electric & Gas Corp.,135,2,4.9,4.3,2,7.6,2,4,1,9.9
8,2019,8/1/2019,Optimum Voice,25,4,3.4,13.5,2,7.2,2,12.6,1,8.4
8,2019,8/1/2019,Orange & Rockland,27,1,4.6,7.6,2,17,1.4,10.7,1,9
8,2019,8/1/2019,Pseg Long Island,60,2,4.7,3.9,2,2.8,2,3.9,1,9.7
8,2019,8/1/2019,Rochester Gas & Electric Corp.,63,0,5,2.6,2,10.7,1.9,83,-5,3.9
8,2019,8/1/2019,Spectrum - Albany,29,1,4.7,8,2,0,2,84.5,-5,3.7
8,2019,8/1/2019,Spectrum - Buffalo,14,2,3.6,5.9,2,0,2,9.3,1,8.6
8,2019,8/1/2019,Spectrum - New York City,24,3,3.8,8.2,2,0,2,200.9,-9,0
8,2019,8/1/2019,Spectrum - Rochester,19,0,5,7.7,2,0,2,9.9,1,10
8,2019,8/1/2019,Spectrum - Syracuse,21,2,4,8.8,2,16.1,1.4,17.1,0.9,8.3
8,2019,8/1/2019,Suez Water New York Inc.,18,4,2.8,0.9,2,16.8,1.4,32.4,0.6,6.8
8,2019,8/1/2019,Verizon Communications,175,50,2.1,13.4,2,33.7,0,62.2,0,4.1
8,2019,8/1/2019,Verizon Digital Voice,28,6,2.9,11.2,2,16,1.5,50.3,0.2,6.6
8,2019,8/1/2019,Verizon New York Inc.,24,3,3.8,12.5,2,59.4,0,46.8,0.3,6.1
8,2019,8/1/2019,XChange Telecom,16,3,3.1,6.1,2,0.5,2,2,1,8.1
7,2019,7/1/2019,Cablevision of Long Island,29,2,4.3,10.6,2,4.6,2,6.4,1,9.3
7,2019,7/1/2019,Cablevision of New York City,26,9,1.5,10.6,2,4.3,2,6.6,1,6.5
7,2019,7/1/2019,Central Hudson Gas & Electric Corp.,20,1,4.5,3.4,2,0.9,2,11.5,1,9.5
7,2019,7/1/2019,Citizens Communications,25,3,3.8,9.4,2,26.6,0,6.3,1,6.8
7,2019,7/1/2019,Con Edison Of New York,401,58,3.6,7.1,2,18.7,1.2,13.3,1,7.8
7,2019,7/1/2019,Direct Energy Services LLC,11,3,2.3,4.5,2,2.3,2,5.7,1,7.3
7,2019,7/1/2019,Frontier Communications of NY/aka Highland Tel,12,3,2.5,10.3,2,0,2,5.7,1,7.5
7,2019,7/1/2019,"Frontier Telephone Of Rochester, Inc.",22,5,2.7,7.3,2,12.6,1.8,7.1,1,7.5
7,2019,7/1/2019,Josco Energy Corp,19,1,4.5,15.2,1.8,5.7,2,7.6,1,9.3
