id,channel_sales,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,churn
149d57cf92fc41cf94415803a877cb4b,MISSING,4425,0,526,1/13/2010,3/7/2016,1/13/2010,3/9/2015,445.75,526,0,131.73,0.1169,0.100015,40.606701,f,52.32,44.91,44.91,1,47.98,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,19.8,0
1aa498825382410b098937d65c4ec26d,usilxuppasemubllopkaafesmlibmsdf,8302,0,1998,12/9/2011,12/9/2016,11/1/2015,12/10/2015,796.94,1998,0,30.12,0.164775,0.086131,45.30837756,f,181.21,33.12,33.12,1,118.89,4,lxidpiddsbxsbosboudacockeimpuepw,13.2,1
01495c955be7ec5e7f3203406785aae0,foosdfpfkusacimwkcsosbicdxkicaua,29552,0,1260,4/21/2010,4/21/2016,4/21/2010,4/22/2015,864.73,751,0,144.49,0.115174,0.098837,40.606701,f,70.63,53.92,53.92,1,100.09,6,lxidpiddsbxsbosboudacockeimpuepw,26.4,0
10c1b2f97a2d2a6f10299dc213d1a370,lmkebamcaaclubfxadlmueccxoimlema,26064,0,2188,5/4/2010,5/4/2016,4/29/2015,5/5/2015,2738.1,2188,0,130.43,0.115761,0.099419,40.606701,f,219.59,33.42,33.42,1,329.6,6,lxidpiddsbxsbosboudacockeimpuepw,31.5,0
d5e512dbc8118a830a7b8c7f61d89992,usilxuppasemubllopkaafesmlibmsdf,10831,0,3112,7/11/2011,7/11/2016,7/11/2011,7/12/2015,1204.58,3112,0,20.94,0.164637,0.087381,44.31137796,f,349.48,14.52,14.52,1,108.5,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,11.5,0
6ee77a019251bcc304c88167e0dfcb4c,foosdfpfkusacimwkcsosbicdxkicaua,4442,0,2489,11/26/2009,11/26/2016,11/26/2009,11/27/2015,561.96,2489,0,20.5,0.167086,0.088444,46.30537836,f,308.41,21.09,21.09,1,18.41,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392,0
2c05848e1a577dd041ea6804bbf5bbf5,foosdfpfkusacimwkcsosbicdxkicaua,46121,1542867,5280,9/1/2011,10/30/2016,10/30/2013,11/1/2015,4502.43,5280,0,145.81,0.115237,0.100123,40.606701,t,523.68,5.52,5.52,2,533.46,4,lxidpiddsbxsbosboudacockeimpuepw,16.5,0
e4773b60d2e68aac94795782abfc006b,lmkebamcaaclubfxadlmueccxoimlema,47019,0,3161,4/20/2012,4/20/2016,4/20/2012,4/21/2015,1687.29,1080,0,16.08,0.144902,0,44.31137796,f,158.53,19.28,19.28,1,130.14,4,ldkssxwpmemidmecebumciepifcamkci,10.392,0
bd14bbac3aca710ee5288fcd8511d4bb,MISSING,786536,80583,85883,2/15/2010,2/15/2016,2/15/2010,2/16/2015,13517.5,23298,0,16.6,0.164058,0.086163,44.31137796,t,2585.38,25.68,25.68,2,1087.76,6,lxidpiddsbxsbosboudacockeimpuepw,11.4,0
f2b93783adecf0d0d8d60ab547bda3de,MISSING,24838,0,2877,5/27/2011,5/27/2016,5/27/2011,5/31/2015,1088.35,798,0,141.79,0.115174,0.098837,40.606701,f,79.36,21.57,21.57,1,117.44,5,ldkssxwpmemidmecebumciepifcamkci,15.001,0
db6ac41fb6972374f28bc6f8e43b9764,foosdfpfkusacimwkcsosbicdxkicaua,16782,0,1908,10/1/2009,10/1/2016,10/1/2009,10/3/2015,1686.67,1908,0,131.77,0.115237,0.100123,40.606701,t,189.79,6.6,6.6,2,203.35,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,19.8,0
bee0c7e972180fbee50c2ea15b12965c,foosdfpfkusacimwkcsosbicdxkicaua,26987,0,4099,3/4/2011,3/4/2016,3/4/2011,3/9/2015,2761.95,4099,0,129.95,0.118636,0.10175,40.606701,f,413.68,47.35,47.35,1,316.53,5,lxidpiddsbxsbosboudacockeimpuepw,35,0
78014630fbac3e6aa980361d25cea748,usilxuppasemubllopkaafesmlibmsdf,20560,0,3804,12/31/2012,12/31/2016,11/1/2015,1/1/2016,3037.82,3804,0,0,0.142417,0,44.31137796,f,548.89,4.14,4.14,1,255.96,3,lxidpiddsbxsbosboudacockeimpuepw,11,0
389bbbe70248fbeecdf9bb1bd0d1da04,foosdfpfkusacimwkcsosbicdxkicaua,3584,0,322,11/17/2010,11/17/2016,11/17/2010,11/18/2015,379.83,322,0,145.98,0.115237,0.100123,41.1052014,f,32.61,57.72,57.72,1,38.76,5,lxidpiddsbxsbosboudacockeimpuepw,23.1,1
7287dad2f1f535d03435ea7c78b557c4,MISSING,7950,0,1100,10/1/2009,10/1/2016,10/1/2009,10/2/2015,856.81,1100,0,132.16,0.115237,0.100123,40.9390266,f,113.82,20,20,1,94.01,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,15.01,0
79d29481ee261caf08387bcef9e4346d,usilxuppasemubllopkaafesmlibmsdf,41814,0,4159,10/10/2012,10/10/2016,6/26/2014,10/11/2015,4107.43,4159,0,129.97,0.116509,0.101397,40.606701,f,412.54,10.16,10.16,1,477.42,3,lxidpiddsbxsbosboudacockeimpuepw,30.45,0
044d071a5dbc2668cddad4f2b28c91d1,MISSING,37969,0,3407,3/28/2005,3/28/2016,3/9/2015,3/29/2015,3879.98,3407,0,130.68,0.114604,0.098262,40.606701,f,330.3,44.64,44.64,1,407.98,11,ldkssxwpmemidmecebumciepifcamkci,33,0
